Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
OC5C_R1_clean	OC5C_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38062231.0	0.0	15-151	39.0	2.463006961690881	108.04862754892113	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
OC5C_R2_clean	OC5C_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38062231.0	0.0	15-151	39.0	18.52603550099584	89.70869482138343	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
OC8L_R1_clean	OC8L_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36251438.0	0.0	15-151	38.0	5.875602294584848	108.25561432900952	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
OC8L_R2_clean	OC8L_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36251438.0	0.0	15-151	38.0	27.22322067286371	85.4708500115223	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SDS1_R1_clean	SDS1_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1802785.0	0.0	15-75	39.0	66.53579454639711	49.61126035550551	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SDS1_R2_clean	SDS1_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1802785.0	0.0	15-75	39.0	63.23806433480467	47.66514365273729	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
SDS2_R1_clean	SDS2_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5585982.0	0.0	15-75	40.0	49.33405024936667	46.407869556328684	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SDS2_R2_clean	SDS2_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5585982.0	0.0	15-75	40.0	44.016472121348684	45.526675882593246	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
TEX_R1_clean	TEX_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1627094.0	0.0	15-75	37.0	86.32731690122564	51.55997256458447	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
TEX_R2_clean	TEX_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1627094.0	0.0	15-75	37.0	83.01619271887998	50.70338529918985	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
UMP_R1_clean	UMP_R1_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1677803.0	0.0	15-75	37.0	83.76615794936183	51.77250726098356	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
UMP_R2_clean	UMP_R2_clean.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1677803.0	0.0	15-75	37.0	78.73068624308	49.941584321878075	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
